dataset;ds;dmu;alpha;cons_alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
laplace;1;1;0,25;0,158;2;0,06290000000000001;0,01880000000000001;0,1086;0,0896;0,1512;0,044;0,13010000000000002;0,129
laplace;1;1;0,25;0,158;3;0,1288;0,0711;0,148;0,030299999999999994;0,1401;0,11389999999999997;0,2946;0,0020000000000000018
laplace;1;1;0,25;0,158;4;0,2913;0,012899999999999995;0,15919999999999998;0,010300000000000004;0,1446;0,11450000000000002;0,082;0,014500000000000013
laplace;1;1;0,25;0,158;5;0,09869999999999998;0,06709999999999999;0,13149999999999998;0,0698;0,1248;0,11150000000000002;0,09;0,059
laplace;1;1;0,25;0,158;6;0,057800000000000004;0,0761;0,03900000000000001;0,0914;0,158;0,0649;0,08;0,0963
laplace;1;1;0,25;0,158;7;0,04930000000000001;0,026100000000000012;0,0519;0,09330000000000001;0,1575;0,043;0,054000000000000006;0,0788
laplace;1;1;0,25;0,158;8;0,006599999999999995;0,024499999999999994;0,019199999999999995;0,04630000000000001;0,1481;0,015000000000000013;0,025999999999999995;0,0469
laplace;1;1;0,25;0,158;9;0,010399999999999993;0,008500000000000008;0,031700000000000006;0,0295;0,1463;0,004299999999999998;0,01899999999999999;0,06760000000000001
laplace;1;1;0,5;0,3161;0;0,016600000000000004;0,019799999999999984;0,043300000000000005;0,03149999999999997;0,2593;0,013600000000000001;0,029100000000000015;0,04189999999999999
laplace;1;1;0,5;0,3161;1;0,05830000000000002;0,05570000000000003;0,1774;0,06709999999999999;0,2327;0,07030000000000003;0,0539;0,023799999999999988
laplace;1;1;0,5;0,3161;2;0,0797;0,10369999999999999;0,019799999999999984;0,056499999999999995;0,2699;0,012799999999999978;0,1021;0,05499999999999999
laplace;1;1;0,5;0,3161;3;0,10510000000000003;0,09660000000000002;0,13130000000000003;0,06280000000000002;0,2422;0,09250000000000003;0,0009000000000000119;0,007900000000000018
laplace;1;1;0,5;0,3161;4;0,13319999999999999;0,0902;0,06559999999999999;0,07790000000000002;0,24769999999999998;0,10020000000000001;0,018100000000000005;0,035599999999999965
laplace;1;1;0,5;0,3161;5;0,06359999999999999;0,061;0,11410000000000003;0,05720000000000003;0,2115;0,08610000000000001;0,07790000000000002;0,011699999999999988
