dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
mushroom;0,75;2;0,0009000000000000119;0,01419999999999999;0,02729999999999999;0,009000000000000008;0,0797;0,041100000000000025;0,009000000000000008;0,008000000000000007
mushroom;0,75;3;0,0009000000000000119;0,025699999999999945;0,02739999999999998;0,0018000000000000238;0,09389999999999998;0,035800000000000054;0,02300000000000002;0,007399999999999962
mushroom;0,75;4;0,021199999999999997;0,00770000000000004;0,023499999999999965;0,0020999999999999908;0,08389999999999997;0,03090000000000004;0,01200000000000001;0,005900000000000016
mushroom;0,75;5;0,0009000000000000119;0,01419999999999999;0,03539999999999999;0,005600000000000049;0,10450000000000004;0,03200000000000003;0,027000000000000024;0,007000000000000006
mushroom;0,75;6;0,0009000000000000119;0,025699999999999945;0,023399999999999976;0,0016000000000000458;0,0685;0,05010000000000003;0,16100000000000003;0,0031999999999999806
mushroom;0,75;7;0,0009000000000000119;0,025699999999999945;0,016800000000000037;0,0042999999999999705;0,0817;0,029000000000000026;0,0040000000000000036;0,00539999999999996
mushroom;0,75;8;0,0009000000000000119;0,0030999999999999917;0,016800000000000037;0,006399999999999961;0,1068;0,023399999999999976;0,026000000000000023;0,008499999999999952
mushroom;0,75;9;0,0009000000000000119;0,0030999999999999917;0,015700000000000047;0,0050000000000000044;0,1049;0,015800000000000036;0,03700000000000003;0,006299999999999972
mushroom;0,95;0;0,01330000000000009;0,013600000000000056;0,11319999999999997;0,0019000000000000128;0,04259999999999997;0,41479999999999995;0,020100000000000007;0,0016000000000000458
mushroom;0,95;1;0,01330000000000009;0,013600000000000056;0,11339999999999995;0,0050000000000000044;0,05269999999999997;0,95;0,02760000000000007;0,005099999999999993
mushroom;0,95;2;0,019899999999999918;0,0040000000000000036;0,17959999999999998;0,000500000000000056;0,048699999999999966;0,7056;0,030400000000000094;0,0012000000000000899
mushroom;0,95;3;0,01330000000000009;0,013600000000000056;0,13629999999999998;0,0049000000000000155;0,05919999999999992;0,8825;0,04200000000000004;0,0047000000000000375
mushroom;0,95;4;0,019899999999999918;0,013600000000000056;0,10159999999999991;0,0036000000000000476;0,042099999999999915;0,6682999999999999;0,02210000000000001;0,0023000000000000798
