dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
laplace;1;2;0,75;0,6485;5;0,0309;0,0912;0,0267;0,028;0,0316
laplace;1;2;0,75;0,6485;6;0,0341;0,0909;0,0495;0,0494;0,0376
laplace;1;2;0,75;0,6485;7;0,0395;0,0889;0,0313;0,0179;0,0231
laplace;1;2;0,75;0,6485;8;0,0243;0,0877;0,0336;0,032;0,0482
laplace;1;2;0,75;0,6485;9;0,0278;0,0798;0,0286;0,0306;0,0392
laplace;1;2;0,95;0,8214;0;0,0232;0,0583;0,0164;0,0149;0,0183
laplace;1;2;0,95;0,8214;1;0,0175;0,0546;0,0172;0,0107;0,0208
laplace;1;2;0,95;0,8214;2;0,0348;0,0586;0,0221;0,0162;0,0132
laplace;1;2;0,95;0,8214;3;0,0279;0,0579;0,0168;0,0144;0,0134
laplace;1;2;0,95;0,8214;4;0,0383;0,0558;0,0239;0,0204;0,0201
laplace;1;2;0,95;0,8214;5;0,0162;0,053;0,0168;0,013;0,0133
laplace;1;2;0,95;0,8214;6;0,0229;0,0553;0,0271;0,0171;0,021
laplace;1;2;0,95;0,8214;7;0,0298;0,0602;0,0182;0,0182;0,0157
laplace;1;2;0,95;0,8214;8;0,0153;0,0559;0,02;0,0164;0,0232
laplace;1;2;0,95;0,8214;9;0,0185;0,0531;0,0165;0,0119;0,0196
laplace;1;4;0,05;0,0491;0;0,0487;0,0516;0,0368;0,0231;0,0228
laplace;1;4;0,05;0,0491;1;0,0561;0,046;0,0494;0,0197;0,0242
laplace;1;4;0,05;0,0491;2;0,0386;0,0503;0,057;0,0147;0,0138
laplace;1;4;0,05;0,0491;3;0,054;0,0468;0,0648;0,0137;0,0139
laplace;1;4;0,05;0,0491;4;0,0522;0,0526;0,0501;0,0169;0,0125
laplace;1;4;0,05;0,0491;5;0,0566;0,0422;0,0565;0,0456;0,0478
laplace;1;4;0,05;0,0491;6;0,052;0,049;0,0614;0,0239;0,0213
laplace;1;4;0,05;0,0491;7;0,0628;0,0469;0,068;0,0604;0,0429
laplace;1;4;0,05;0,0491;8;0,0393;0,0497;0,0281;0,0156;0,0235
laplace;1;4;0,05;0,0491;9;0,0345;0,0408;0,0257;0,027;0,0306
laplace;1;4;0,25;0,2454;0;0,0619;0,0306;0,0259;0,0231;0,0202
laplace;1;4;0,25;0,2454;1;0,0694;0,0318;0,0301;0,0199;0,0185
laplace;1;4;0,25;0,2454;2;0,0528;0,0324;0,0316;0,0192;0,0194
laplace;1;4;0,25;0,2454;3;0,0675;0,0286;0,0451;0,0292;0,0245
laplace;1;4;0,25;0,2454;4;0,0545;0,0326;0,0359;0,0169;0,0223
laplace;1;4;0,25;0,2454;5;0,0763;0,0383;0,0568;0,0424;0,0492
laplace;1;4;0,25;0,2454;6;0,0597;0,0297;0,0371;0,0303;0,0352
laplace;1;4;0,25;0,2454;7;0,0783;0,0426;0,0411;0,0303;0,0263
laplace;1;4;0,25;0,2454;8;0,0534;0,042;0,0283;0,0271;0,0325
laplace;1;4;0,25;0,2454;9;0,0422;0,0343;0,0256;0,0262;0,0321
laplace;1;4;0,5;0,4908;0;0,0466;0,0356;0,0219;0,0195;0,02
laplace;1;4;0,5;0,4908;1;0,041;0,0334;0,0266;0,0152;0,0144
laplace;1;4;0,5;0,4908;2;0,0385;0,0412;0,0234;0,0231;0,023
laplace;1;4;0,5;0,4908;3;0,0494;0,0497;0,0347;0,0267;0,0201
laplace;1;4;0,5;0,4908;4;0,0353;0,0371;0,0212;0,0173;0,0198
laplace;1;4;0,5;0,4908;5;0,0469;0,0478;0,0317;0,0254;0,0234
laplace;1;4;0,5;0,4908;6;0,0428;0,0417;0,0296;0,0264;0,026
laplace;1;4;0,5;0,4908;7;0,054;0,0482;0,0284;0,0267;0,0274
laplace;1;4;0,5;0,4908;8;0,0393;0,0458;0,0201;0,0232;0,0234
laplace;1;4;0,5;0,4908;9;0,0285;0,0373;0,0181;0,0301;0,0284
laplace;1;4;0,75;0,7363;0;0,0207;0,0324;0,0185;0,0174;0,0168
laplace;1;4;0,75;0,7363;1;0,0212;0,0329;0,0152;0,0161;0,0161
laplace;1;4;0,75;0,7363;2;0,0148;0,0335;0,0207;0,0174;0,0228
laplace;1;4;0,75;0,7363;3;0,0223;0,0357;0,017;0,0195;0,0138
laplace;1;4;0,75;0,7363;4;0,0177;0,0344;0,014;0,0126;0,0146
laplace;1;4;0,75;0,7363;5;0,0217;0,037;0,0146;0,0191;0,0197
laplace;1;4;0,75;0,7363;6;0,0209;0,036;0,0228;0,0233;0,0247
laplace;1;4;0,75;0,7363;7;0,0281;0,0363;0,0167;0,0184;0,027
laplace;1;4;0,75;0,7363;8;0,0215;0,0324;0,0136;0,0173;0,0201
laplace;1;4;0,75;0,7363;9;0,0174;0,0338;0,0171;0,0293;0,0229
laplace;1;4;0,95;0,9326;0;0,0092;0,014;0,0109;0,0034;0,0072
laplace;1;4;0,95;0,9326;1;0,0075;0,0132;0,0079;0,0036;0,0045
laplace;1;4;0,95;0,9326;2;0,0082;0,014;0,0139;0,0141;0,0062
laplace;1;4;0,95;0,9326;3;0,0122;0,0132;0,0076;0,0049;0,0068
laplace;1;4;0,95;0,9326;4;0,0079;0,0151;0,0084;0,0043;0,0061
laplace;1;4;0,95;0,9326;5;0,0062;0,0138;0,0074;0,0071;0,0064
laplace;1;4;0,95;0,9326;6;0,0048;0,0137;0,0125;0,0084;0,0091
laplace;1;4;0,95;0,9326;7;0,0111;0,0154;0,0075;0,0047;0,0062
laplace;1;4;0,95;0,9326;8;0,009;0,0148;0,0073;0,0049;0,006
laplace;1;4;0,95;0,9326;9;0,0046;0,0137;0,0105;0,0067;0,006
laplace;2;0;0,05;0,025;0;0,024;0,0261;0,0286;0,0274;0,0411
laplace;2;0;0,05;0,025;1;0,0294;0,0238;0,0496;0,0238;0,0242
laplace;2;0;0,05;0,025;2;0,038;0,024;0,0574;0,024;0,024
laplace;2;0;0,05;0,025;3;0,0261;0,0246;0,0469;0,0249;0,0233
laplace;2;0;0,05;0,025;4;0,0347;0,0243;0,052;0,0239;0,024
laplace;2;0;0,05;0,025;5;0,046;0,0247;0,0638;0,0423;0,03
laplace;2;0;0,05;0,025;6;0,0477;0,0242;0,0704;0,0341;0,0411
laplace;2;0;0,05;0,025;7;0,0481;0,0241;0,0643;0,0533;0,0682
laplace;2;0;0,05;0,025;8;0,0241;0,0244;0,0335;0,0195;0,023
laplace;2;0;0,05;0,025;9;0,0266;0,0238;0,0296;0,0391;0,0436
laplace;2;0;0,25;0,125;0;0,0268;0,1272;0,0361;0,0783;0,0865
laplace;2;0;0,25;0,125;1;0,0498;0,1207;0,0614;0,0467;0,051
laplace;2;0;0,25;0,125;2;0,0403;0,1253;0,0614;0,0412;0,0682
laplace;2;0;0,25;0,125;3;0,0401;0,1226;0,0673;0,0806;0,0901
laplace;2;0;0,25;0,125;4;0,0494;0,1271;0,0764;0,0893;0,0925
laplace;2;0;0,25;0,125;5;0,0557;0,1202;0,0689;0,0503;0,0783
laplace;2;0;0,25;0,125;6;0,0652;0,1101;0,0775;0,0716;0,0864
laplace;2;0;0,25;0,125;7;0,067;0,1109;0,0625;0,0725;0,1075
laplace;2;0;0,25;0,125;8;0,0329;0,1189;0,0425;0,0481;0,0904
laplace;2;0;0,25;0,125;9;0,0372;0,1132;0,0418;0,0539;0,0803
laplace;2;0;0,5;0,25;0;0,0276;0,1566;0,0453;0,0506;0,1101
