dataset;alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
bank;0,75;8;0,19879999999999998;0,25;0,18079999999999996;0,18500000000000005;0,18779999999999997
bank;0,75;9;0,19599999999999995;0,25;0,17979999999999996;0,18000000000000005;0,1785
bank;0,95;0;0,051000000000000045;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
bank;0,95;1;0,05149999999999999;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
bank;0,95;2;0,05300000000000005;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
bank;0,95;3;0,052200000000000024;0,050000000000000044;0,050000000000000044;0,052000000000000046;0,050000000000000044
bank;0,95;4;0,05249999999999999;0,050000000000000044;0,050000000000000044;0,05120000000000002;0,057499999999999996
bank;0,95;5;0,05249999999999999;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
bank;0,95;6;0,055499999999999994;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,05449999999999999
bank;0,95;7;0,054200000000000026;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
bank;0,95;8;0,05349999999999999;0,050000000000000044;0,050000000000000044;0,05120000000000002;0,050000000000000044
bank;0,95;9;0,05279999999999996;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,05049999999999999
concrete;0,05;0;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,09499999999999997;0,09999999999999998
concrete;0,05;1;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,05249999999999999;0,05249999999999999
concrete;0,05;2;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
concrete;0,05;3;0,05249999999999999;0,050000000000000044;0,050000000000000044;0,08499999999999996;0,11750000000000005
concrete;0,05;4;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,06999999999999995;0,08250000000000002
concrete;0,05;5;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,07250000000000001;0,06499999999999995
concrete;0,05;6;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,0675;0,08499999999999996
concrete;0,05;7;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
concrete;0,05;8;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
concrete;0,05;9;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044;0,050000000000000044
concrete;0,25;0;0,17500000000000004;0,15959999999999996;0,15580000000000005;0,18079999999999996;0,17689999999999995
concrete;0,25;1;0,15580000000000005;0,15959999999999996;0,15000000000000002;0,17310000000000003;0,17310000000000003
concrete;0,25;2;0,15959999999999996;0,14039999999999997;0,1442;0,1865;0,1673
concrete;0,25;3;0,2712;0,28459999999999996;0,2308;0,3077;0,3115
concrete;0,25;4;0,17500000000000004;0,15190000000000003;0,14229999999999998;0,16149999999999998;0,1673
concrete;0,25;5;0,17689999999999995;0,13849999999999996;0,16149999999999998;0,17879999999999996;0,1865
concrete;0,25;6;0,22309999999999997;0,19420000000000004;0,1865;0,2692;0,19620000000000004
concrete;0,25;7;0,16920000000000002;0,1846;0,19230000000000003;0,36729999999999996;0,44620000000000004
concrete;0,25;8;0,2481;0,17879999999999996;0,17500000000000004;0,24229999999999996;0,2308
concrete;0,25;9;0,22119999999999995;0,18269999999999997;0,17879999999999996;0,26539999999999997;0,22119999999999995
concrete;0,5;0;0,2269;0,1936;0,17179999999999995;0,1885;0,1846
concrete;0,5;1;0,23329999999999995;0,1936;0,18589999999999995;0,1987;0,18200000000000005
concrete;0,5;2;0,25639999999999996;0,20379999999999998;0,19099999999999995;0,17049999999999998;0,1744
